服务中心名称,省份,销售地址,销售热线,链接,
保定欧美亚汽车销售服务有限公司,河北,河北省保定市涞水县涞水镇北瓦宅村北,0312-4895222,http://dealer.autohome.com.cn/2027674,
唐山弘锐汽车销售服务有限公司,河北,河北省唐山市高新区郑庄子乡白寺口村西,0315-3162233,http://dealer.autohome.com.cn/80516,
滦县庞大胜惠汽车销售服务有限公司,河北,河北省唐山市滦县新城平大路1号,0315-7107225,http://dealer.autohome.com.cn/2028236,
邢台恒达汽车贸易有限公司,河北,河北省邢台市桥东区龙岗汽车园19号,0319-3909986,http://dealer.autohome.com.cn/69763,
任丘市博远昊轩汽车销售有限公司,河北,河北省沧州市任丘市106国道西任兴加油站北侧,0317-2362900,http://dealer.autohome.com.cn/123744,
张家口新兴快马汽车销售服务有限公司,河北,河北省张家口市高新区老鸦镇宁远堡村,0313-4080088,http://dealer.autohome.com.cn/2023385,
文安县佳昊永业汽车销售有限公司,河北,河北省廊坊市文安县近郊文静路南侧,0316-2786966,http://dealer.autohome.com.cn/2028277,
承德乾宇汽车贸易有限公司,河北,河北省承德市双桥区大石庙镇太平庄汽车城,0314-2122555,http://dealer.autohome.com.cn/2005074,
北京庆长风商贸有限公司,北京,北京市朝阳区小红门乡肖村南四环东路91号,010-51317588,http://dealer.autohome.com.cn/2037,
北京燕长风汽车销售服务有限公司,北京,北京市顺义区李桥镇顺通路李桥段26号,010-89444221,http://dealer.autohome.com.cn/2003599,
北京新兴快马汽车服务有限公司,北京,北京市海淀区四季青乡常润路15号平房,010-88436410,http://dealer.autohome.com.cn/8129,
北京新兴翔悦汽车销售服务有限公司,北京,北京市昌平区回龙观镇回龙观村北京欧德宝汽车交易市场A区21号,010-80749442,http://dealer.autohome.com.cn/60106,
北京新兴翔悦汽车销售服务有限公司房山分公司,北京,北京市房山区闫村镇炒米店村北北京周路南15米,010-80308868,http://dealer.autohome.com.cn/70773,
北京龙云瑞晟汽车有限公司,北京,北京市密云县十里堡镇十里堡村东100米,010-69075298,http://dealer.autohome.com.cn/2021463,
霸州市开发区赶良汽车销售有限公司,河北,河北省霸州市兴华北路东侧,0316-7289859  17736755020,http://dealer.autohome.com.cn/12637,
天津中津物发商贸有限公司静海分公司,天津,天津市静海县津德路91号,022-68907100,http://dealer.autohome.com.cn/2003356,
唐山广通汽车贸易有限公司,河北,河北省唐山市遵化市华明南路与南三环交叉口,0315－6837878,http://dealer.bitauto.com/100101424/index.html,
衡水瑞通汽车销售服务有限公司 ,河北,河北省衡水市开发区昌明大街666号2栋1-2层,0318-5115678,http://dealer.bitauto.com/100116878/index.html,
安平县嘉泰汽车贸易有限公司,河北,河北省衡水市安平县南外环五洲国际时代广场,0318-7875551,http://dealer.bitauto.com/100106524,
任丘市博雅佳浩汽车销售服务有限公司,河北,河北省任丘市经济开发区迎宾路东侧 ,0317-2281822,http://dealer.bitauto.com/100045929/index.html,
承德庞大安信汽车销售有限公司,河北,河北省承德市开发区太平庄二化南庞大汽车城,0314-2527827,http://dealer.bitauto.com/100057982/index.html,
邢台恒骏汽车贸易有限公司,河北,邢台市桥东区长信村北,0319-3217985,http://dealer.bitauto.com/100059615/index.html,
大城县煜昌达汽车销售服务有限公司,河北,河北省廊坊市大城县杏园村南侧（廊泊路）,0316-5637222,http://dealer.bitauto.com/100106808/index.html,
石家庄康途汽车贸易有限公司,河北,河北省石家庄市南二环东路16号,0311-86022788,http://dealer.bitauto.com/100053119/index.html,
保定市天信汽车贸易有限公司,河北,保定市南二环高保路口西行300米路南,0312-5930057,http://dealer.bitauto.com/100042165/index.html,
唐山荣川海源汽车销售服务有限公司,河北,河北省唐山市机场路立交桥南侧中石化加油站后院荣川汽车园南区,0315-5118128,http://dealer.bitauto.com/100034656/index.html,
沧州市富裕达汽车销售有限公司,河北,河北省沧州市开发区石港路赵家坟村南,0317-3052777,http://dealer.bitauto.com/100045980/index.html,
泊头市盛达汽车销售有限公司,河北,河北省沧州市泊头市裕华路与104国道交叉口北500米,0317-8295555,http://dealer.bitauto.com/100087273/index.html,
廊坊市翊祥汽车销售有限公司,河北,河北省廊坊市开发区金源道92号,0316-8015555-1,http://dealer.bitauto.com/100036177/index.html,
邯郸市喜丰汽车销售有限公司,河北,河北省武安市同安街摩托车市场北头,0310-5569692,http://dealer.xcar.com.cn/97865/,
天津燕长风商贸有限公司蓟县分公司,天津,天津市蓟县中昌南路开发区立交桥北,022-82728755,http://dealer.xcar.com.cn/113159/,
北京新兴裕隆汽车销售服务有限责任公司,北京,北京市延庆区延庆镇莲花池村东200米,010-60168569,,
昌黎精诚车业有限公司,河北,河北省秦皇岛市昌黎县东外环西王庄段,0335-2366222,,
河北金珂恒达汽车贸易有限公司,河北,河北省石家庄市藁城区307国道藁城收费站西侧路南,0311-67166636,,
赵县联翔汽车贸易有限公司,河北,河北省石家庄市赵县308国道路西,0311-84957151,,
雄县鑫合汇汽车销售服务有限公司,河北,河北省保定市雄县温白快速路北段,,,
廊坊市上海轿车维修服务有限公司,河北,河北省廊坊市广阳区益民道中段,0316-2396888,,
石家庄快马汽车销售有限公司,河北,河北省石家庄市长安区北外环68 号,,,
邢台和鹏汽车贸易有限公司,河北,河北省邢台市清河县新世纪大街南、华山路西,0319-8167660,,
北方新兴（北京）汽车销售有限公司,北京,北京市大兴区经济开发区金苑路10号,010-60216278,,
定州市安特汽车商贸有限公司,河北,定州市长安工业园二号路北口东侧,0312-2355126,,
昆山市联合汽车贸易有限公司,江苏,昆山市宝益路9号,0512-57306888,http://dealer.autohome.com.cn/71465,
南京大有汽车贸易有限公司,江苏,江苏省南京市江宁区东山街道4S园天临路8号,025-58323777,http://dealer.autohome.com.cn/10750,
常熟逸锋汽车销售服务有限公司,江苏,江苏省苏州市常熟市汽车城青墩塘路118号,0512-52973000,http://dealer.autohome.com.cn/2023818,
镇江万达汽车销售服务有限公司,江苏,江苏省镇江市丁卯开发区纬三路168号,0511-81981666,http://dealer.autohome.com.cn/120807,
南京日德汽车维修服务有限公司,江苏,江苏省南京市雨花区软件大道16号,025-58706028,http://dealer.autohome.com.cn/98197,
常州常悦汽车销售服务有限公司,江苏,江苏省常州市新北区顺园路88-10号（薛家汽车城内）,0519-81685188,http://dealer.autohome.com.cn/65279,
扬州市亨亚汽车销售服务有限公司,江苏,扬州市江都区希林路与润峰路交接处,0514-80916398,http://dealer.autohome.com.cn/12561,
扬州金都汽车销售有限公司,江苏,江苏省扬州市扬子江北路819号,0514-87798999,http://dealer.autohome.com.cn/2004889,
苏州市万友汽车销售服务有限公司,江苏,江苏省苏州市高新区国际汽车城内汇通路10,0512-66626222,http://dealer.autohome.com.cn/10752,
昆山市联合汽车贸易有限公司太仓分公司,江苏,江苏省太仓市经济开发区太平北路111号5栋103B,0512-53551222,http://dealer.autohome.com.cn/2003464,
张家港市联发汽车贸易有限公司,江苏,江苏省苏州张家港市人民东路与东二环路联发汽车城,0512-58299888,http://dealer.autohome.com.cn/2022218,
宿迁市合力汽车销售服务有限公司,江苏,江苏省宿迁市沐阳县常州路汽车产业园,0527-87997228,http://dealer.autohome.com.cn/2024730,
徐州市天士力工贸有限责任公司,江苏,江苏省徐州市金山桥经济开发区东三环63号,0516-80288288,http://dealer.autohome.com.cn/124180,
泰州宝昇汽车销售服务有限公司,江苏,江苏省泰州市泰州经济开发区泰高路309号（泰州国际汽车城6号楼101）,0523-80916828,http://dealer.autohome.com.cn/81854,
宿迁市中科志翔汽车销售服务有限公司,江苏,江苏省宿迁市宿豫区江山大道,0527-80880000,http://dealer.autohome.com.cn/61856,
徐州新航汽车销售服务有限公司,江苏,江苏省徐州市铜山区珠江东路汽车工业园内,0516-83381777,http://dealer.autohome.com.cn/101214,
南通长庆汽车销售有限公司,江苏,江苏省南通市港闸区永兴路36号,0513-87108555,http://dealer.autohome.com.cn/119463,
江阴源臻汽车销售服务有限公司,江苏,江苏省无锡市江阴市澄杨路79号,0510-86988800,http://dealer.autohome.com.cn/2019468,
宜兴市宁兴汽车销售服务有限公司,江苏,江苏省无锡市宜兴经济开发区融达汽车城8幢813号,0510-87226226,http://dealer.autohome.com.cn/2005485,
无锡宁锡汽车销售有限公司,江苏,江苏省无锡惠山区金惠路106号,0510-82135881,http://dealer.autohome.com.cn/2018407,
江苏国信汽车服务有限公司,江苏,江苏省淮安市香港路淮安汽车城,0517-81563666,http://dealer.autohome.com.cn/2003258,
苍南县大昌汽车销售服务有限公司,浙江,浙江省温州市苍南县灵溪环城北路（通福路）春晖路口,0577-59920333,http://dealer.autohome.com.cn/2019499,
乐清欣安汽车有限公司,浙江,浙江省乐清市宁康东路1127号,0577-55775666,http://dealer.autohome.com.cn/2019352,
杭州祥通汽车有限公司,浙江,浙江省杭州市拱墅区花园岗街209-1号,0571-86911088,http://dealer.autohome.com.cn/15630,
绍兴祥通汽车有限公司,浙江,绍兴市袍江工业区中兴大道201号,0575-88158333,http://dealer.autohome.com.cn/81706,
绍兴市至行汽车销售服务有限公司,浙江,浙江省诸暨市城西开发区王家湖路17 号,0575-89093008,http://dealer.autohome.com.cn/2028368,
嘉兴国邦汽车销售有限公司,浙江,浙江省嘉兴市城南产业园一期永高路29号,0573-83388188,http://dealer.autohome.com.cn/2028713,
宁波市祥安汽车营销服务有限公司,浙江,浙江省宁波市江北区庄桥街道马径汽车园区东明路1号,0574-83012555,http://dealer.autohome.com.cn/2028871,
宁波市象山祥盛汽车销售服务有限公司,浙江,浙江省象山县经济开发区城南高新创业园,0574-89521777,http://dealer.autohome.com.cn/2028320,
宁波市祥弘汽车销售服务有限公司,浙江,浙江省宁波市北仑区小港滨江汽车城,0574-27617555,http://dealer.autohome.com.cn/2028261,
衢州宏安汽车销售服务有限公司,浙江,浙江省衢州市衢江区振兴东路619号,0570-8535555,http://dealer.autohome.com.cn/2018138,
金华豪邦汽车销售有限公司,浙江,浙江省金华市金东区赤松镇黄泥垅村,0579-82089900,http://dealer.autohome.com.cn/68576,
台州金豪汽车销售有限公司,浙江,浙江省台州市路桥区峰江街道十份村,0576-82929933,http://dealer.autohome.com.cn/100679,
温州中安汽车有限公司,浙江,浙江省温州市龙湾区温州大道18号,0577-88795888,http://dealer.autohome.com.cn/109011,
温州名欣汽车销售服务有限公司,浙江,浙江省瑞安市飞云镇城南大道,0577-65561985,http://dealer.autohome.com.cn/2003554,
湖州宏安汽车销售有限公司,浙江,浙江省湖州市八里店镇陆旺村三里桥路1501号,0572-2570888,http://dealer.autohome.com.cn/105333,
舟山市新洲汽车销售服务有限公司,浙江,浙江省舟山市定海区兴舟大道165号,0580-8808939,http://dealer.autohome.com.cn/121048,
丽水市金菱汽车销售服务有限公司,浙江,浙江省丽水市丽阳街,0578-2682888,http://dealer.autohome.com.cn/2005121,
上海恒驰汽车销售有限公司,上海,上海市沪南公路7160号,021-20929102,http://dealer.autohome.com.cn/126683,
上海禾致汽车销售服务有限公司,上海,上海市闵行区中春路1001号第10幢,021-52966855,http://dealer.autohome.com.cn/99660,
上海昌安汽车销售服务有限公司,上海,上海市同济路1552号甲,"
021-36213477
",http://dealer.autohome.com.cn/60344,
上海联闳浦逸汽车销售有限公司,上海,上海市奉贤区沪杭公路1095号,021-57109918,http://dealer.autohome.com.cn/2006275,
江苏日德汽车销售服务有限公司,江苏,南京市溧水区经济开发区汽车4S园,025-56600011,http://dealer.autohome.com.cn/2028271,
无锡大有汽车销售服务有限公司,江苏,江苏省无锡市金城东路290号东方汽车新城A14座,0510-83119188,http://dealer.autohome.com.cn/78824,
苏州威肯汽车销售服务有限公司,江苏,苏州市相城区元和街道苏麌张东太阳路,0512-65865111,http://dealer.autohome.com.cn/129263,
苏州市都市飞扬汽车销售服务有限公司,江苏,江苏省苏州市吴中区木渎中山东路151号,0512-80915091,http://dealer.autohome.com.cn/2025721,
南通大道车业有限公司,江苏,江苏省南通市港闸区长江北路99号,0513-81069666,http://dealer.autohome.com.cn/15150,
徐州万友汽车销售有限公司,江苏,徐州云龙区和平大桥东路北侧（竹林寺对面）,0516-81802886,http://dealer.autohome.com.cn/80419,
徐州市长安汽车销售有限公司,江苏,江苏省徐州市云龙区三环东路18号,0516-83877111,http://dealer.autohome.com.cn/2030164,
丹阳市安吉汽车销售有限公司,江苏,江苏省镇江市丹阳市丹金路（迈村对面）,0511-86918333,http://dealer.autohome.com.cn/83747,
丰县联众汽车销售服务有限公司,江苏,江苏省徐州市丰县丰沛路南经六路东,0516-68898659,http://dealer.autohome.com.cn/119013,
淮安市中科汽车销售服务有限公司,江苏,江苏省淮安市淮海城南汽车城,0517-89081555,http://dealer.autohome.com.cn/2017689,
扬州基德汽车销售服务有限公司,江苏,江苏省扬州市扬子江北路889号（小官桥东侧）,0514-80925117,http://dealer.autohome.com.cn/82131,
兴化市长清汽车贸易有限公司,江苏,江苏省兴化市临城镇科技园区兴泰公路西侧,0523-83458088,http://dealer.autohome.com.cn/123952,
泰州常青汽车贸易城有限公司,江苏,江苏省泰州市海陵区国际汽车城泰州大道311号,,http://dealer.autohome.com.cn/2040799,
宁波市中诚汽车销售有限公司,浙江,浙江省宁波市余姚市西环南路553号,0574-62493868,http://dealer.autohome.com.cn/10768,
义乌市康大汽车贸易有限公司,浙江,浙江省义乌市汽车城A馆9号,0579-85681063,http://dealer.autohome.com.cn/83884,
永康市汇通汽车服务有限公司,浙江,浙江省金华市永康市西新区九铃西路1013号,0579-87434898,http://dealer.autohome.com.cn/2003553,
台州金博隆车业有限公司,浙江,浙江省台州市路桥区泰隆街418号,0576-82766001,http://dealer.autohome.com.cn/75084,
杭州萧山宏安行汽车修理有限公司,浙江,浙江省杭州市萧山区兴园路158号3-5门面浙江世纪汽车市场,0571-82606999,http://dealer.autohome.com.cn/2003563,
临海市国大汽车配件有限公司,浙江,浙江省临海市江南下叶村,0576-89346660,http://dealer.autohome.com.cn/2028742,
江山中鸿汽车有限公司,浙江,浙江省衢州市江山市区江贺公路,0570-4796688,http://dealer.autohome.com.cn/2005397,
湖州宏锦汽车销售有限公司,浙江,浙江省湖州市长兴县雉城镇图影大道999号,0572-6550880,http://dealer.autohome.com.cn/2021525,
浙江祥通汽车有限公司,浙江,浙江省杭州市江干区下沙路1161号,0571-86913931,http://dealer.autohome.com.cn/2020066,
上海禾庭汽车销售服务有限公司,上海,上海市浦东新区川沙路4425号 ,021-58660759,http://dealer.autohome.com.cn/2018286,
上海亭卫汽车销售服务有限公司,上海,上海市金山区山阳镇亭卫公路1398,021-67299952,http://dealer.autohome.com.cn/2004793,
上海联闳汽车销售有限公司,上海,上海市闵行区天山西路2668号,021-62202390,http://dealer.autohome.com.cn/63118,
连云港神鹰汽车销售有限公司,江苏,江苏省连云港市新浦区解放东路318号B4-7,0518-85156888,http://dealer.autohome.com.cn/119014,
绍兴市裕盛汽车销售服务有限公司,浙江,浙江省绍兴市袍江工业区汽车城康宁路,0575-89182922,http://dealer.autohome.com.cn/2021573,
盐城万达汽车销售服务有限公司,江苏,江苏省盐城市通榆南路159号（亨威对面）,0515-88270111,http://dealer.bitauto.com/100048124/index.html,
如东大道汽车销售有限公司,江苏,江苏省南通市如东县城南环路如东汽车城,0513-81968000,http://dealer.bitauto.com/100116415/index.html,
南京古棠汽车贸易有限公司,江苏,江苏省南京市六合经济开发区方新路36号,025-57137740,http://dealer.bitauto.com/100055428/index.html,
昆山联合巴士租赁有限公司,江苏,江苏省昆山市昆嘉路556号,0512-36910166,http://dealer.bitauto.com/100046126/index.html,
常州东悦汽车销售服务有限公司,江苏,江苏省常州市武进区绿园爱舍17-2、3、4,0519-86959799,http://dealer.bitauto.com/100051187/index.html,
宿迁市中科汽车销售服务有限公司,江苏,江苏省宿迁市双庄国际汽车城纬二路北侧,0527-80990000,http://dealer.bitauto.com/100049676/index.html,
宁波市中瑞汽车销售服务有限公司,浙江,浙江省宁波市海曙区范江岸路中医院公交站旁,0874-87470198,http://dealer.bitauto.com/100067684/index.html,
江苏大有汽车服务有限公司,江苏,江苏省南京市雨花区板桥汽车4S园,025-52635783,,
常州金坛福瑞汽车销售有限公司,江苏,江苏省金坛市北环西路195号,0519-82880308,,
温州华信汽车有限公司,浙江,浙江省温州市瓯海大道413号,0577-28890000,,
上海富电汽车销售有限公司,上海,上海市宝山区江杨南路1377号,021-57600066,,
广西万友汽车销售服务有限公司,广西,广西省柳州市柳南区汇轮路2号广西汽贸园,0772-3722838,http://dealer.autohome.com.cn/14936,
桂林弘悦汽车销售服务有限公司,广西,广西省桂林市秀峰区甲山乡路口村机场路口,0773-3603666,http://dealer.autohome.com.cn/99687,
南宁万友汽车销售服务有限公司,广西,广西省南宁市科园大道89号,15717717108,http://dealer.autohome.com.cn/2028325,
南宁开悦汽车销售服务有限公司,广西,广西省南宁市安吉路36-11号,0771-3136158,http://dealer.autohome.com.cn/2023735,
广西吉星汽车销售服务有限公司,广西,广西省贵港市金港大道605号(汽车东站往西300米）,0775-4588298,http://dealer.autohome.com.cn/2020269,
百色万泰汽车销售服务有限公司,广西,广西省壮族自治区百色市右江区大旺路中段12号大旺汽车广场内,0776-8800988,http://dealer.autohome.com.cn/2028256,
北海瑞宏盛汽车销售服务有限公司,广西,广西省北海市海城区南珠大道中段（南珠汽车站向北800米）,0779－2068142,http://dealer.autohome.com.cn/65241/,
广西万友汽车销售服务有限公司南宁轿车分公司,广西,广西省南宁市银海大道864－3号玉洞汽车城G区05、06号,0771-4955455,http://dealer.autohome.com.cn/15815,
广西广合盛汽车销售服务有限公司,广西,广西省南宁市安吉大道56号,0771-4356660,http://dealer.autohome.com.cn/2002982,
柳州市兆鑫汽车销售服务有限公司,广西,广西省柳州市汇轮路汽贸园东区1-1号,0772-3118737,http://dealer.autohome.com.cn/2029861,
河池昌大贸易有限公司,广西,广西省河池市南环路区法院正对面,0778-2301086,http://dealer.autohome.com.cn/99697,
百色永生汽车贸易有限公司,广西,广西省百色市右江区大旺路中段A座1-3号,0776-2222683,http://dealer.autohome.com.cn/2003430,
广西贺州市捷成汽车销售有限公司,广西,广西省贺州市八达西路口与207国道交汇处,0774-5221717,http://dealer.autohome.com.cn/2003434,
钦州万里行汽车销售有限公司,广西,广西省钦州市北部湾大道中段 ,0777-3890506,http://dealer.autohome.com.cn/2003441,
梧州市凯丰汽车贸易有限公司,广西,广西梧州市长洲区龙平村七组蝴蝶山,0774-3889777,http://dealer.autohome.com.cn/2019024,
广西贵港市万利汽车销售有限公司,广西,广西省贵港市金港大道西段南侧（西江摩托车城往西100米）,0775-4278900,http://dealer.autohome.com.cn/2021460,
玉林市祥义盛汽车销售服务有限公司,广西,广西省玉林市一环北路416号,0775-2660938,http://dealer.autohome.com.cn/14429,
湖南润锦汽车销售服务有限公司,湖南,长沙市星沙中南汽车城H06区,0731-85284245,http://dealer.autohome.com.cn/65180,
浏阳润锦中天汽车销售有限公司,湖南,湖南省浏阳市浏阳大道博德路博德广场,0731-83725666,http://dealer.autohome.com.cn/2028272,
长沙县润锦汽车贸易有限公司,湖南,湖南省长沙市开福区万家丽北路清水塘城西村,0731-86808699,http://dealer.autohome.com.cn/129216,
湖南华捷城南汽车销售服务有限公司,湖南,湖南省长沙市雨花区雀园路和顺加油站旁,0731-84391566,http://dealer.autohome.com.cn/2016960,
怀化市华旭汽车销售服务有限公司,湖南,湖南省怀化市国际汽车城凉川路锦溪南路路口,0745-2377666,http://dealer.autohome.com.cn/2028899,
衡阳市和昌汽车销售服务有限公司,湖南,湖南省衡阳市石鼓区黄沙湾街道进步村一组,0734-8688333,http://dealer.autohome.com.cn/15258,
常德市华捷汽车销售服务有限公司,湖南,湖南省常德市常德大道与龙港路交汇处,0736-7770882,http://dealer.autohome.com.cn/117211,
永州华捷汽车销售有限公司,湖南,湖南省永州市潇湘汽车城内A06栋,0746-6677111,http://dealer.autohome.com.cn/2016222,
张家界弘安汽车服务有限公司,湖南,湖南省张家界九城汽车大世界七号地,0744-8588988,http://dealer.autohome.com.cn/2019558,
娄底润锦汽车销售服务有限公司,湖南,湖南省娄底市娄星区湘阳街北侧 ,0738-8680069,http://dealer.autohome.com.cn/2015218,
湘西弘泰汽车销售服务有限公司,湖南,湖南省吉首市湘西自治州蓝天国际汽车城3号地块,0743-2180699,http://dealer.autohome.com.cn/2028273,
郴州市和运汽车贸易有限公司,湖南,湖南省郴州市南岭大道与郴州大道交汇处,0735-8182222,http://dealer.autohome.com.cn/2019429,
长沙华捷汽车销售有限公司,湖南,湖南省长沙市中南汽车世界F04栋,0731-85243222,http://dealer.autohome.com.cn/2028612,
浏阳华捷汽车销售服务有限公司,湖南,湖南省浏阳市花炮大道生辉汽车城,0731-83288788,http://dealer.autohome.com.cn/126005,
长沙润锦汽车销售服务有限公司,湖南,湖南省长沙市高新区麓谷汽车城D-04地块 ,0731-88168618,http://dealer.autohome.com.cn/2006460,
宁乡华捷汽车销售服务有限公司,湖南,湖南省长沙市宁乡县玉潭镇楚沩东路540号,0731-87892828,http://dealer.autohome.com.cn/2023196,
怀化市远舰鸿安汽车销售服务有限公司,湖南,怀化市鹤城区红星南路211号,0745-2865388/0745-2865818,http://dealer.autohome.com.cn/99703,
衡阳市悦丰汽车销售服务有限公司,湖南,湖南省衡阳市蒸湘区杨柳三组杨柳汽贸城二期,0734-8533000,http://dealer.autohome.com.cn/128661,
郴州市佳辉贸易有限公司,湖南,郴州市开发区南岭村委会往南120米处,0735-2175777,http://dealer.autohome.com.cn/2025844,
岳阳惠丰汽车有限公司,湖南,湖南省岳阳市经济技术开发区通海南路（又称屈原南路）,0730-8752828,http://dealer.autohome.com.cn/11985,
湘潭润锦汽车销售服务有限公司,湖南,湖南省湘潭市九华示范区湘望路12号,0731-52786666,http://dealer.autohome.com.cn/83502,
益阳华捷汽车销售服务有限公司,湖南,湖南省益阳市桃花仑东路818号,0737-3801988,http://dealer.autohome.com.cn/99676,
株洲润锦汽车销售服务有限公司,湖南,株洲市天元区株洲大道482号体育中心,0731-28668008,http://dealer.autohome.com.cn/100673,
邵阳市和昌汽车销售服务有限公司,湖南,湖南省邵阳市双清区宝庆东路120号,0739-5088098,http://dealer.autohome.com.cn/101398,
江西华捷汽车销售有限公司,江西,江西省南昌市红谷滩新区汽配大市场B区1栋,0791-83127899,http://dealer.autohome.com.cn/2005481,
宜春市瑞达汽车贸易有限公司,江西,江西省宜春市环城西路鹏晟农机大市场2栋\9栋,0795-2171111,http://dealer.autohome.com.cn/76398,
九江展名汽车贸易有限公司,江西,江西省九江市港口街城西汽车大市场,"0792-8361776/
0792-6732666",http://dealer.autohome.com.cn/83567,
